GlucoseInternalTime,GlucoseValue
1447240342.0,9.60
1447240642.0,9.93
1447240942.0,10.16
1447241242.0,10.21
1447241542.0,10.27
1447241842.0,10.27
1447242142.0,10.10
1447242442.0,10.04
1447242742.0,10.10
1447243042.0,10.10
1447243342.0,10.10
1447243642.0,10.04
1447243942.0,9.71
1447244242.0,9.71
1447244542.0,9.82
1447244842.0,9.82
1447245142.0,9.88
1447245442.0,10.10
1447245742.0,10.16
1447246042.0,10.27
1447246342.0,10.21
1447246642.0,10.10
1447246942.0,9.99
1447247241.0,9.99
1447247541.0,9.77
1447247841.0,9.77
1447248141.0,9.71
1447248441.0,9.71
1447248741.0,9.77
1447249042.0,9.82
1447249341.0,9.82
1447249641.0,9.88
1447249941.0,9.88
1447250241.0,9.93
1447250541.0,10.04
1447250841.0,10.21
1447251141.0,10.10
1447251442.0,10.16
1447251741.0,10.54
1447252041.0,10.65
1447252341.0,10.77
1447252641.0,10.77
1447252941.0,10.77
1447253241.0,9.71
1447253541.0,9.88
1447253841.0,9.82
1447254141.0,10.16
1447254441.0,10.16
1447254741.0,10.04
1447255043.0,9.99
1447255341.0,9.71
1447255641.0,9.27
1447255941.0,8.77
1447256241.0,8.32
1447256541.0,7.99
1447256841.0,8.05
1447257141.0,8.10
1447257441.0,8.21
1447257741.0,8.16
1447258041.0,8.05
1447258341.0,8.05
1447258641.0,7.99
1447258941.0,7.94
1447259241.0,7.94
1447259541.0,7.99
1447259841.0,8.16
1447260141.0,8.55
1447260441.0,9.10
1447260741.0,9.49
1447261041.0,9.49
1447261341.0,9.43
1447261641.0,9.16
1447261941.0,8.82
1447262241.0,8.71
1447262541.0,8.66
1447262841.0,8.44
1447263141.0,8.32
1447263441.0,8.21
1447263741.0,8.16
1447264041.0,8.05
1447264341.0,7.99
1447264641.0,7.82
1447264941.0,7.60
1447265241.0,7.27
1447265541.0,6.94
1447265841.0,6.49
1447266141.0,6.10
1447266442.0,5.72
1447266741.0,5.38
1447267041.0,5.27
1447267341.0,5.33
1447267641.0,5.49
1447267941.0,5.72
1447268241.0,5.88
1447268541.0,5.88
1447268841.0,5.94
1447269141.0,5.94
1447269441.0,5.88
1447269741.0,5.83
1447270642.0,5.72
1447270941.0,5.66
1447271242.0,5.60
1447271541.0,5.60
1447271841.0,5.60
1447272141.0,5.66
1447272441.0,5.72
1447272741.0,5.72
1447273041.0,5.66
1447273341.0,5.72
1447273642.0,5.49
1447273941.0,5.38
1447274241.0,5.27
1447274541.0,5.22
1447274842.0,5.05
1447275141.0,4.88
1447275441.0,4.83
1447275742.0,4.83
1447276041.0,4.77
1447276341.0,4.88
1447276641.0,5.11
1447276941.0,5.27
1447277241.0,5.33
1447277541.0,5.33
1447277841.0,5.27
1447278141.0,5.11
1447278441.0,4.99
1447278741.0,4.99
1447279041.0,4.99
1447279341.0,4.94
1447279641.0,4.99
1447279941.0,5.11
1447280241.0,5.16
1447280541.0,5.16
1447280841.0,5.16
1447281141.0,5.27
1447281441.0,5.22
1447281741.0,5.16
1447282042.0,5.22
1447282341.0,5.33
1447282641.0,5.72
1447282941.0,6.16
1447283241.0,6.60
1447283541.0,6.60
1447283841.0,6.71
1447284141.0,6.88
1447284441.0,7.10
1447284741.0,7.66
1447285041.0,7.82
