Start,Finish,Heart Rate (count/min)
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,102.0
1447062420.0,1447062420.0,107.0
1447062420.0,1447062420.0,113.0
1447062420.0,1447062420.0,114.0
1447062420.0,1447062420.0,114.0
1447062420.0,1447062420.0,115.0
1447062480.0,1447062480.0,115.0
1447062480.0,1447062480.0,115.0
1447062480.0,1447062480.0,114.0
1447062480.0,1447062480.0,115.0
1447062480.0,1447062480.0,115.0
1447062480.0,1447062480.0,116.0
1447062480.0,1447062480.0,115.0
1447062480.0,1447062480.0,113.0
1447062480.0,1447062480.0,122.0
1447062480.0,1447062480.0,122.0
1447062480.0,1447062480.0,121.0
1447062480.0,1447062480.0,121.0
1447062540.0,1447062540.0,120.0
1447062540.0,1447062540.0,120.0
1447062540.0,1447062540.0,121.0
1447062540.0,1447062540.0,122.0
1447062540.0,1447062540.0,122.0
1447062540.0,1447062540.0,121.0
1447062540.0,1447062540.0,120.0
1447062540.0,1447062540.0,118.0
1447062540.0,1447062540.0,113.0
1447062540.0,1447062540.0,110.0
1447062540.0,1447062540.0,108.0
1447062540.0,1447062540.0,109.0
1447062600.0,1447062600.0,108.0
1447062600.0,1447062600.0,104.0
1447062600.0,1447062600.0,104.0
1447062600.0,1447062600.0,106.0
1447062600.0,1447062600.0,106.0
1447062600.0,1447062600.0,107.0
1447062600.0,1447062600.0,108.0
1447062600.0,1447062600.0,108.0
1447062600.0,1447062600.0,109.0
1447062600.0,1447062600.0,109.0
1447062600.0,1447062600.0,109.0
1447062600.0,1447062600.0,111.0
1447062660.0,1447062660.0,113.0
1447062660.0,1447062660.0,113.0
1447062660.0,1447062660.0,112.0
1447062660.0,1447062660.0,109.0
1447062660.0,1447062660.0,110.0
1447062660.0,1447062660.0,109.0
1447062660.0,1447062660.0,109.0
1447062660.0,1447062660.0,109.0
1447062660.0,1447062660.0,109.0
1447062660.0,1447062660.0,110.0
1447062660.0,1447062660.0,110.0
1447062660.0,1447062660.0,110.0
1447062720.0,1447062720.0,109.0
1447062720.0,1447062720.0,109.0
1447062720.0,1447062720.0,109.0
1447062720.0,1447062720.0,107.0
1447062720.0,1447062720.0,105.0
1447062720.0,1447062720.0,105.0
1447062720.0,1447062720.0,104.0
1447062720.0,1447062720.0,103.0
1447062720.0,1447062720.0,104.0
1447062720.0,1447062720.0,104.0
1447062720.0,1447062720.0,104.0
1447062720.0,1447062720.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,104.0
1447062780.0,1447062780.0,103.0
1447062780.0,1447062780.0,102.0
1447062780.0,1447062780.0,102.0
1447062840.0,1447062840.0,103.0
1447062840.0,1447062840.0,104.0
1447062840.0,1447062840.0,105.0
1447062840.0,1447062840.0,104.0
1447062840.0,1447062840.0,102.0
1447062840.0,1447062840.0,96.0
1447062840.0,1447062840.0,96.0
1447062840.0,1447062840.0,95.0
1447062840.0,1447062840.0,95.0
1447062840.0,1447062840.0,96.0
1447062840.0,1447062840.0,99.0
1447062840.0,1447062840.0,99.0
1447062900.0,1447062900.0,100.0
1447062900.0,1447062900.0,102.0
1447062900.0,1447062900.0,103.0
1447062900.0,1447062900.0,103.0
1447062900.0,1447062900.0,103.0
1447062900.0,1447062900.0,103.0
1447062900.0,1447062900.0,104.0
1447062900.0,1447062900.0,104.0
1447062900.0,1447062900.0,105.0
1447062900.0,1447062900.0,108.0
1447062900.0,1447062900.0,108.0
1447062900.0,1447062900.0,108.0
1447062960.0,1447062960.0,107.0
1447062960.0,1447062960.0,105.0
1447062960.0,1447062960.0,105.0
1447062960.0,1447062960.0,106.0
1447062960.0,1447062960.0,106.0
1447062960.0,1447062960.0,106.0
1447062960.0,1447062960.0,106.0
1447062960.0,1447062960.0,107.0
1447062960.0,1447062960.0,110.0
1447062960.0,1447062960.0,111.0
1447062960.0,1447062960.0,112.0
1447062960.0,1447062960.0,115.0
1447063020.0,1447063020.0,115.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,114.0
1447063020.0,1447063020.0,113.0
1447063020.0,1447063020.0,113.0
1447063020.0,1447063020.0,113.0
1447063020.0,1447063020.0,113.0
1447063080.0,1447063080.0,113.0
1447063080.0,1447063080.0,111.0
1447063080.0,1447063080.0,112.0
1447063080.0,1447063080.0,111.0
1447063080.0,1447063080.0,111.0
1447063080.0,1447063080.0,112.0
1447063080.0,1447063080.0,113.0
1447063080.0,1447063080.0,113.0
1447063080.0,1447063080.0,115.0
1447063080.0,1447063080.0,115.0
1447063080.0,1447063080.0,115.0
1447063080.0,1447063080.0,115.0
1447063140.0,1447063140.0,115.0
1447063140.0,1447063140.0,115.0
1447063140.0,1447063140.0,115.0
1447063140.0,1447063140.0,115.0
1447063140.0,1447063140.0,114.0
1447063140.0,1447063140.0,109.0
1447063140.0,1447063140.0,107.0
1447063140.0,1447063140.0,107.0
1447063140.0,1447063140.0,107.0
1447063140.0,1447063140.0,107.0
1447063140.0,1447063140.0,107.0
1447063140.0,1447063140.0,108.0
1447063200.0,1447063200.0,110.0
1447063200.0,1447063200.0,110.0
1447063200.0,1447063200.0,113.0
1447063200.0,1447063200.0,113.0
1447063200.0,1447063200.0,113.0
1447063200.0,1447063200.0,114.0
1447063200.0,1447063200.0,113.0
1447063200.0,1447063200.0,113.0
1447063200.0,1447063200.0,112.0
1447063200.0,1447063200.0,111.0
1447063200.0,1447063200.0,111.0
1447063200.0,1447063200.0,110.0
1447063260.0,1447063260.0,109.0
1447063260.0,1447063260.0,109.0
1447063260.0,1447063260.0,109.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
1447063260.0,1447063260.0,108.0
